ID,Pozo_DGA,Pozo,E,N,Tipo,Operador,Z,Profundidad,Info SNGM - Collar
110,Bellavista 276,SNGM-PTA-0321,438775,7708113,Monitoreo,NN,972.064,20,SNGM
111,Sur Viejo 299,SNGM-PTA-0322,446851,7686038,Monitoreo,NN,943.853,Sin información,SNGM
112,Hispania 138,SNGM-PTA-0323,432834,7739171,Monitoreo,NN,986.212,106,SNGM
113,Bellavista 275,SNGM-PTA-0324,435660,7707124,Monitoreo,NN,964.364,15,SNGM
114,L. Quispe D-167,SNGM-PTA-0325,440613,7735595,Monitoreo,NN,980.543,Sin información,SNGM
115,Remolino A-19,SNGM-PTA-0326,410924,7820115,Monitoreo,NN,1146.142,Sin información,SNGM
116,Remolino A-17,SNGM-PTA-0327,409143,7823328,Monitoreo,NN,1142.039,Sin información,SNGM
117,Sur Viejo 298,SNGM-PTA-0328,437805,7687329,Monitoreo,NN,920.236,Sin información,SNGM
118,San Genaro A-133,SNGM-PTA-0329,444327,7739346,Monitoreo,NN,990.345,Sin información,SNGM
119,Pintados B-1,SNGM-PTA-0332,442874,7724828,Monitoreo,NN,1000.054,61.18,SNGM
120,MC-007,SNGM-PTA-0334,432961,7636132,Monitoreo,NN,748.554,Sin información,SNGM
121,Dupliza 492,SNGM-PTA-0336,435921,7767049,Monitoreo,NN,1057.477,64.55,SNGM
122,D-290,SNGM-PTA-0339,426237,7695371,Monitoreo,NN,943.759,7,SNGM
123,España 16,SNGM-PTA-0340,435803,7736189,Monitoreo,NN,981.106,Sin información,SNGM
124,Pintados Noria,SNGM-PTA-0341,437146,7725702,Monitoreo,NN,975.915,Sin información,SNGM
125,Matilla p077,SNGM-PTA-0342,461050,7731709,Monitoreo,NN,1140.743,33,SNGM
126,Puquio Buena Esperanza 2,SNGM-PTA-0343,464391,7732579,Monitoreo,NN,1283.055,20,SNGM
127,San Martín p009,SNGM-PTA-0344,466560,7733605,Monitoreo,NN,1356.391,Sin información,SNGM
128,HMC P-1,SNGM-PTA-0345,444167,7756525,Monitoreo,NN,1074.942,254,SNGM
129,Miraflores p030,SNGM-PTA-0346,465245,7735888,Monitoreo,NN,1335.807,39.14,SNGM
130,Miraflores Alto,SNGM-PTA-0347,468265,7735405,Monitoreo,NN,1495.421,55.07,SNGM
131,Bajo Miraflores,SNGM-PTA-0348,465975,7734792,Monitoreo,NN,1342.602,31.93,SNGM
132,Cumiña Alto de la Fuente,SNGM-PTA-0349,464893,7734833,Monitoreo,NN,1315.446,41,SNGM
133,Valle Quisma Z. M.,SNGM-PTA-0350,463609,7730874,Monitoreo,NN,1215.565,Sin información,SNGM
134,DGA 123,SNGM-PTA-0352,427385,7738689,Monitoreo,NN,988.93,Sin información,SNGM
135,Bellavista 271,SNGM-PTA-0354,435157,7711497,Monitoreo,NN,966.236,Sin información,SNGM
136,S. Pintados 235,SNGM-PTA-0356,422814,7728428,Monitoreo,NN,981.231,Sin información,SNGM
137,B. Junoy 230,SNGM-PTA-0358,433814,7731579,Monitoreo,NN,979.261,Sin información,SNGM
138,Puquio Núñez 2,SNGM-PTA-0361,463434,7721588,Monitoreo,NN,1192.162,10.53,SNGM
139,S/N (D-15),SNGM-PTA-0362,460681,7734909,Monitoreo,NN,1123.029,Sin información,SNGM
140,S/N (Pozo 18),SNGM-PTA-0365,459641,7735871,Monitoreo,NN,1096.05,Sin información,SNGM
141,Pica-Matilla p042,SNGM-PTA-0367,462909,7732370,Monitoreo,NN,1253.405,29.29,SNGM
142,Puquio Santa Elena M.C.C.,SNGM-PTA-0368,463941,7733600,Monitoreo,NN,1297.146,Sin información,SNGM
143,Cumiña Alto p045,SNGM-PTA-0369,464095,7734671,Monitoreo,NN,1303.965,41.8,SNGM
144,D-292,SNGM-PTA-0370,443398,7695173,Monitoreo,NN,954.14,57.8,SNGM
145,Gattavara P-1,SNGM-PTA-0371,434162,7754161,Monitoreo,NN,1015.959,Sin información,SNGM
146,La Tirana Salida,SNGM-PTA-0374,431822,7747570,Monitoreo,NN,1000.411,15.55,SNGM
147,Nueva Esperanza,SNGM-PTA-0375,464287,7733013,Monitoreo,NN,1290.082,33.7,SNGM
148,Concova San Alfonso p023,SNGM-PTA-0376,467276,7734696,Monitoreo,NN,1412.783,24.76,SNGM
149,Parcela 2 Quisma,SNGM-PTA-0377,463849,7731095,Monitoreo,NN,1221.311,Sin información,SNGM
150,Matilla p047,SNGM-PTA-0378,460858,7732619,Monitoreo,NN,1140.385,41,SNGM
151,La Tirana 20-6,SNGM-PTA-0382,434050,7752573,Monitoreo,NN,1010.078,Sin información,SNGM
152,CONAF-2468,SNGM-PTA-0383,429307,7731550,Monitoreo,NN,979.069,Sin información,SNGM
153,B. Junoy 21-9,SNGM-PTA-0385,429660,7730567,Monitoreo,NN,978.361,Sin información,SNGM
154,B. Junoy 22-10,SNGM-PTA-0386,428250,7741856,Monitoreo,NN,993.067,Sin información,SNGM
155,CONAF-2428,SNGM-PTA-0387,427371,7741419,Monitoreo,NN,994.715,Sin información,SNGM
156,Rodal-10,SNGM-PTA-0388,426223,7742505,Monitoreo,NN,995.584,Sin información,SNGM
157,CONAF-2433,SNGM-PTA-0389,429938,7739493,Monitoreo,NN,987.485,Sin información,SNGM
158,Algarrobal 2,SNGM-PTA-0390,429778,7736530,Monitoreo,NN,989.095,Sin información,SNGM
159,B. Junoy 22-15,SNGM-PTA-0391,431310,7737403,Monitoreo,NN,986.143,Sin información,SNGM
160,CONAF-2455,SNGM-PTA-0392,433921,7734534,Monitoreo,NN,982.796,Sin información,SNGM
161,Esperanza 1,SNGM-PTA-0393,433275,7730235,Monitoreo,NN,977.996,12.15,SNGM
162,CONAF-2460,SNGM-PTA-0394,431919,7730761,Monitoreo,NN,979.515,Sin información,SNGM
163,Cumiñalla 22-7,SNGM-PTA-0395,444495,7738715,Monitoreo,NN,985.759,Sin información,SNGM
164,B. Junoy 23-1,SNGM-PTA-0396,424299,7738067,Monitoreo,NN,988.735,Sin información,SNGM
165,Chanes-2439,SNGM-PTA-0397,435018,7700196,Monitoreo,NN,948.316,11.6,SNGM
166,Victoria 23-11,SNGM-PTA-0398,433333,7702050,Monitoreo,NN,950.926,Sin información,SNGM
167,Buenaventura 23-12,SNGM-PTA-0399,429449,7696050,Monitoreo,NN,943.892,Sin información,SNGM
168,B. Junoy 23-2,SNGM-PTA-0401,426677,7737270,Monitoreo,NN,986.979,Sin información,SNGM
169,CONAF-2446,SNGM-PTA-0402,428057,7734321,Monitoreo,NN,983.061,Sin información,SNGM
170,B. Junoy 23-4,SNGM-PTA-0403,428458,7733382,Monitoreo,NN,984.25,Sin información,SNGM
171,CONAF-2447,SNGM-PTA-0404,427252,7731751,Monitoreo,NN,980.594,Sin información,SNGM
172,B. Junoy 23-6,SNGM-PTA-0405,435839,7729336,Monitoreo,NN,975.367,Sin información,SNGM
173,CONAF-2467,SNGM-PTA-0406,435928.87,7726949.52,Monitoreo,NN,975.898,Sin información,SNGM
174,Parque Sur,SNGM-PTA-0407,436873,7723496,Monitoreo,NN,979.227,Sin información,SNGM
175,La Huayca 2410-1,SNGM-PTA-0409,442857.14,7742141.75,Monitoreo,NN,985.947,Sin información,SNGM
176,La Tirana 30-10,SNGM-PTA-0411,432409.19,7748459.13,Monitoreo,NN,1001.268,Sin información,SNGM
177,La Tirana 30-11,SNGM-PTA-0412,432230.12,7748015.07,Monitoreo,NN,997.233,Sin información,SNGM
178,La Tirana 30-12,SNGM-PTA-0413,429144.65,7751507.89,Monitoreo,NN,1007.353,Sin información,SNGM
179,La Tirana 30-13,SNGM-PTA-0414,429151.32,7751502.28,Monitoreo,NN,1006.963,Sin información,SNGM
180,Dupliza 30-4,SNGM-PTA-0415,435921.3,7767052,Monitoreo,NN,1057.561,Sin información,SNGM
181,Pozo Almonte 30-6,SNGM-PTA-0416,419408.3,7756986.41,Monitoreo,NN,1021.417,Sin información,SNGM
182,La Tirana 30-7,SNGM-PTA-0417,429386.19,7751202.45,Monitoreo,NN,1002.963,Sin información,SNGM
183,La Tirana 30-9,SNGM-PTA-0418,432273.36,7748270.94,Monitoreo,NN,998.863,Sin información,SNGM
184,Viña Vieja p001,SNGM-PTA-0420,466475,7735019,Monitoreo,NN,1375.289,25,SNGM
185,San Martín p007,SNGM-PTA-0426,466299,7733740,Monitoreo,NN,1344.521,Sin información,SNGM
186,San Martín p008,SNGM-PTA-0427,466323,7733853,Monitoreo,NN,1347.106,Sin información,SNGM
187,San Martín p010,SNGM-PTA-0428,466673,7733429,Monitoreo,NN,1362.019,46.5,SNGM
188,San Martín p012,SNGM-PTA-0430,466318,7733284,Monitoreo,NN,1338.727,Sin información,SNGM
189,San Martín p015,SNGM-PTA-0431,465835,7732988,Monitoreo,NN,1320.263,37.25,SNGM
190,San Martín p016,SNGM-PTA-0432,466024,7733048,Monitoreo,NN,1324.297,31.3,SNGM
191,San Martín p017,SNGM-PTA-0433,465973,7733123,Monitoreo,NN,1323.571,30.59,SNGM
192,San Martín p018,SNGM-PTA-0434,465832,7733242,Monitoreo,NN,1319.719,27.33,SNGM
193,Concova p020,SNGM-PTA-0436,467178,7734564,Monitoreo,NN,1401.656,22.9,SNGM
194,Concova p021,SNGM-PTA-0437,467281,7734537,Monitoreo,NN,1416.848,23.7,SNGM
195,Víctor Alvarado p025,SNGM-PTA-0440,467806,7735908,Monitoreo,NN,1459.129,37.35,SNGM
196,San Basilio p029,SNGM-PTA-0443,465869,7734735,Monitoreo,NN,1339.078,35.87,SNGM
197,Jaime Uribe p035,SNGM-PTA-0447,465260,7733375,Monitoreo,NN,1315,32,Collar
198,Nancy Alegría p037,SNGM-PTA-0449,465602,7733698,Monitoreo,NN,1321.967,17.2,SNGM
199,Parcela La Labranza p051,SNGM-PTA-0450,467037,7734886,Monitoreo,NN,1400.158,17.03,SNGM
200,Sondaje las Ánimas p049,SNGM-PTA-0456,466227,7734140,Monitoreo,NN,1336.056,3.6,SNGM
201,Puquio Comiña p059,SNGM-PTA-0461,462926,7733216,Monitoreo,NN,1270.208,16.5,SNGM
202,Puquio Comiña p060,SNGM-PTA-0462,462875,7733095,Monitoreo,NN,1269.021,24.21,SNGM
203,Lo Vega p066,SNGM-PTA-0466,461173,7732632,Monitoreo,NN,1152.274,24,SNGM
204,Estrella Del Desierto p067,SNGM-PTA-0467,461118,7732115,Monitoreo,NN,1151.759,38,SNGM
205,Estrella del Norte p069,SNGM-PTA-0469,460999,7732082,Monitoreo,NN,1144.681,39.94,SNGM
206,Parcela Hijuela p070,SNGM-PTA-0470,463746,7730937,Monitoreo,NN,1215.572,20,SNGM
207,Pullalla Benito p073,SNGM-PTA-0472,463354,7730854,Monitoreo,NN,1234.923,38,SNGM
208,Terreno Fiscal p078,SNGM-PTA-0475,461196,7731552,Monitoreo,NN,1143,184,Collar
209,Predio Valle Quisma p091,SNGM-PTA-0488,464519,7731366,Monitoreo,NN,1234.513,26,SNGM
210,Chintaguay p094,SNGM-PTA-0491,466536,7731342,Monitoreo,NN,1292.426,Sin información,SNGM
211,Sector Puquio Santa Elena p98,SNGM-PTA-0494,463733,7733133,Monitoreo,NN,1281.928,29.48,SNGM
212,Sector Puquio Santa Elena p99,SNGM-PTA-0495,463919,7733255,Monitoreo,NN,1288.253,28.73,SNGM
213,Sector Puquio Santa Elena p100,SNGM-PTA-0496,463797,7733422,Monitoreo,NN,1286.047,29,SNGM
