ID;Pozo_DGA;Pozo;E;N;Tipo;Operador;Z;Profundidad;Info SNGM - Collar
125;Matilla p077;SNGM-PTA-0342;461050;7731709;Monitoreo;No Identificado;1140.743;33;SNGM
126;Puquio Buena Esperanza 2;SNGM-PTA-0343;464391;7732579;Monitoreo;No Identificado;1283.055;20;SNGM
127;San Martin p009;SNGM-PTA-0344;466560;7733605;Monitoreo;No Identificado;1356.391;Sin informacion;SNGM
128;HMC P-1;SNGM-PTA-0345;444167;7756525;Monitoreo;No Identificado;1074.942;254;SNGM
129;Miraflores p030;SNGM-PTA-0346;465245;7735888;Monitoreo;No Identificado;1335.807;39.14;SNGM
130;Miraflores Alto;SNGM-PTA-0347;468265;7735405;Monitoreo;No Identificado;1495.421;55.07;SNGM
131;Bajo Miraflores;SNGM-PTA-0348;465975;7734792;Monitoreo;No Identificado;1342.602;31.93;SNGM
132;Cumina Alto de la Fuente;SNGM-PTA-0349;464893;7734833;Monitoreo;No Identificado;1315.446;41;SNGM
133;Valle Quisma Z. M.;SNGM-PTA-0350;463609;7730874;Monitoreo;No Identificado;1215.565;Sin informacion;SNGM
134;DGA 123;SNGM-PTA-0352;427385;7738689;Monitoreo;No Identificado;988.93;Sin informacion;SNGM
135;Bellavista 271;SNGM-PTA-0354;435157;7711497;Monitoreo;No Identificado;966.236;Sin informacion;SNGM
136;S. Pintados 235;SNGM-PTA-0356;422814;7728428;Monitoreo;No Identificado;981.231;Sin informacion;SNGM
137;B. Junoy 230;SNGM-PTA-0358;433814;7731579;Monitoreo;No Identificado;979.261;Sin informacion;SNGM
138;Puquio Nunez 2;SNGM-PTA-0361;463434;7721588;Monitoreo;No Identificado;1192.162;10.53;SNGM
139;S/N (D-15);SNGM-PTA-0362;460681;7734909;Monitoreo;No Identificado;1123.029;Sin informacion;SNGM
140;S/N (Pozo 18);SNGM-PTA-0365;459641;7735871;Monitoreo;No Identificado;1096.05;Sin informacion;SNGM
141;Pica-Matilla p042;SNGM-PTA-0367;462909;7732370;Monitoreo;No Identificado;1253.405;29.29;SNGM
142;Puquio Santa Elena M.C.C.;SNGM-PTA-0368;463941;7733600;Monitoreo;No Identificado;1297.146;Sin informacion;SNGM
143;Cumina Alto p045;SNGM-PTA-0369;464095;7734671;Monitoreo;No Identificado;1303.965;41.8;SNGM
144;D-292;SNGM-PTA-0370;443398;7695173;Monitoreo;No Identificado;954.14;57.8;SNGM
145;Gattavara P-1;SNGM-PTA-0371;434162;7754161;Monitoreo;No Identificado;1015.959;Sin informacion;SNGM
146;La Tirana Salida;SNGM-PTA-0374;431822;7747570;Monitoreo;No Identificado;1000.411;15.55;SNGM
147;Nueva Esperanza;SNGM-PTA-0375;464287;7733013;Monitoreo;No Identificado;1290.082;33.7;SNGM
148;Concova San Alfonso p023;SNGM-PTA-0376;467276;7734696;Monitoreo;No Identificado;1412.783;24.76;SNGM
149;Parcela 2 Quisma;SNGM-PTA-0377;463849;7731095;Monitoreo;No Identificado;1221.311;Sin informacion;SNGM
150;Matilla p047;SNGM-PTA-0378;460858;7732619;Monitoreo;No Identificado;1140.385;41;SNGM
151;La Tirana 20-6;SNGM-PTA-0382;434050;7752573;Monitoreo;No Identificado;1010.078;Sin informacion;SNGM
152;CONAF-2468;SNGM-PTA-0383;429307;7731550;Monitoreo;No Identificado;979.069;Sin informacion;SNGM
153;B. Junoy 21-9;SNGM-PTA-0385;429660;7730567;Monitoreo;No Identificado;978.361;Sin informacion;SNGM
154;B. Junoy 22-10;SNGM-PTA-0386;428250;7741856;Monitoreo;No Identificado;993.067;Sin informacion;SNGM
155;CONAF-2428;SNGM-PTA-0387;427371;7741419;Monitoreo;No Identificado;994.715;Sin informacion;SNGM
156;Rodal-10;SNGM-PTA-0388;426223;7742505;Monitoreo;No Identificado;995.584;Sin informacion;SNGM
157;CONAF-2433;SNGM-PTA-0389;429938;7739493;Monitoreo;No Identificado;987.485;Sin informacion;SNGM
158;Algarrobal 2;SNGM-PTA-0390;429778;7736530;Monitoreo;No Identificado;989.095;Sin informacion;SNGM
159;B. Junoy 22-15;SNGM-PTA-0391;431310;7737403;Monitoreo;No Identificado;986.143;Sin informacion;SNGM
160;CONAF-2455;SNGM-PTA-0392;433921;7734534;Monitoreo;No Identificado;982.796;Sin informacion;SNGM
161;Esperanza 1;SNGM-PTA-0393;433275;7730235;Monitoreo;No Identificado;977.996;12.15;SNGM
162;CONAF-2460;SNGM-PTA-0394;431919;7730761;Monitoreo;No Identificado;979.515;Sin informacion;SNGM
163;Cuminalla 22-7;SNGM-PTA-0395;444495;7738715;Monitoreo;No Identificado;985.759;Sin informacion;SNGM
164;B. Junoy 23-1;SNGM-PTA-0396;424299;7738067;Monitoreo;No Identificado;988.735;Sin informacion;SNGM
165;Chanes-2439;SNGM-PTA-0397;435018;7700196;Monitoreo;No Identificado;948.316;11.6;SNGM
166;Victoria 23-11;SNGM-PTA-0398;433333;7702050;Monitoreo;No Identificado;950.926;Sin informacion;SNGM
167;Buenaventura 23-12;SNGM-PTA-0399;429449;7696050;Monitoreo;No Identificado;943.892;Sin informacion;SNGM
168;B. Junoy 23-2;SNGM-PTA-0401;426677;7737270;Monitoreo;No Identificado;986.979;Sin informacion;SNGM
169;CONAF-2446;SNGM-PTA-0402;428057;7734321;Monitoreo;No Identificado;983.061;Sin informacion;SNGM
170;B. Junoy 23-4;SNGM-PTA-0403;428458;7733382;Monitoreo;No Identificado;984.25;Sin informacion;SNGM
171;CONAF-2447;SNGM-PTA-0404;427252;7731751;Monitoreo;No Identificado;980.594;Sin informacion;SNGM
172;B. Junoy 23-6;SNGM-PTA-0405;435839;7729336;Monitoreo;No Identificado;975.367;Sin informacion;SNGM
173;CONAF-2467;SNGM-PTA-0406;435928.87;7726949.52;Monitoreo;No Identificado;975.898;Sin informacion;SNGM
174;Parque Sur;SNGM-PTA-0407;436873;7723496;Monitoreo;No Identificado;979.227;Sin informacion;SNGM
