ID,Pozo_DGA,Pozo,E,N,Tipo,Operador
162,CONAF-2460,SNGM-PTA-0394,431919,7730761,Monitoreo,Aguas Nuevas
163,Cumiñalla 22-7,SNGM-PTA-0395,444495,7738715,Monitoreo,DGA
164,B. Junoy 23-1,SNGM-PTA-0396,424299,7738067,Monitoreo,Aguas Nuevas
165,Chanes-2439,SNGM-PTA-0397,435018,7700196,Monitoreo,DGA
166,Victoria 23-11,SNGM-PTA-0398,433333,7702050,Monitoreo,Aguas Nuevas
167,Buenaventura 23-12,SNGM-PTA-0399,429449,7696050,Monitoreo,DGA
168,B. Junoy 23-2,SNGM-PTA-0401,426677,7737270,Monitoreo,Aguas Nuevas
169,CONAF-2446,SNGM-PTA-0402,428057,7734321,Monitoreo,DGA
170,B. Junoy 23-4,SNGM-PTA-0403,428458,7733382,Monitoreo,Aguas Nuevas
171,CONAF-2447,SNGM-PTA-0404,427252,7731751,Monitoreo,DGA
172,B. Junoy 23-6,SNGM-PTA-0405,435839,7729336,Monitoreo,Aguas Nuevas
173,CONAF-2467,SNGM-PTA-0406,435928.87,7726949.52,Monitoreo,DGA
174,Parque Sur,SNGM-PTA-0407,436873,7723496,Monitoreo,Aguas Nuevas
175,La Huayca 2410-1,SNGM-PTA-0409,442857.14,7742141.75,Monitoreo,DGA
176,La Tirana 30-10,SNGM-PTA-0411,432409.19,7748459.13,Monitoreo,Aguas Nuevas
177,La Tirana 30-11,SNGM-PTA-0412,432230.12,7748015.07,Monitoreo,DGA
178,La Tirana 30-12,SNGM-PTA-0413,429144.65,7751507.89,Monitoreo,Aguas Nuevas
179,La Tirana 30-13,SNGM-PTA-0414,429151.32,7751502.28,Monitoreo,DGA
180,Dupliza 30-4,SNGM-PTA-0415,435921.3,7767052,Monitoreo,Aguas Nuevas
181,Pozo Almonte 30-6,SNGM-PTA-0416,419408.3,7756986.41,Monitoreo,DGA
182,La Tirana 30-7,SNGM-PTA-0417,429386.19,7751202.45,Monitoreo,Aguas Nuevas
183,La Tirana 30-9,SNGM-PTA-0418,432273.36,7748270.94,Monitoreo,DGA
184,Viña Vieja p001,SNGM-PTA-0420,466475,7735019,Monitoreo,Aguas Nuevas
185,San Martín p007,SNGM-PTA-0426,466299,7733740,Monitoreo,DGA
186,San Martín p008,SNGM-PTA-0427,466323,7733853,Monitoreo,Aguas Nuevas
187,San Martín p010,SNGM-PTA-0428,466673,7733429,Monitoreo,DGA
188,San Martín p012,SNGM-PTA-0430,466318,7733284,Monitoreo,Aguas Nuevas
189,San Martín p015,SNGM-PTA-0431,465835,7732988,Monitoreo,DGA
190,San Martín p016,SNGM-PTA-0432,466024,7733048,Monitoreo,Aguas Nuevas
191,San Martín p017,SNGM-PTA-0433,465973,7733123,Monitoreo,DGA
192,San Martín p018,SNGM-PTA-0434,465832,7733242,Monitoreo,Aguas Nuevas
